,YY,MM,DD,VAL
0,2014,12,31,70.96083199
1,2015,1,1,65.905
2,2015,1,2,62.778333
3,2015,1,3,4.81166599
4,2015,1,4,15.680833
5,2015,1,5,44.336666
6,2015,1,6,55.640909
7,2015,1,7,42.65416599
8,2015,1,8,43.03499999
9,2015,1,9,53.201666
10,2015,1,10,0.0
11,2015,1,11,15.708333
12,2015,1,12,40.68999999
13,2015,1,13,51.690832
14,2015,1,14,46.655833
15,2015,1,15,33.59666599
16,2015,1,16,13.99583299
17,2015,1,17,11.085
18,2015,1,18,19.945833
19,2015,1,19,30.949166
20,2015,1,20,17.827499
21,2015,1,21,12.744999
22,2015,1,22,20.17166599
23,2015,1,23,33.834166
24,2015,1,24,6.778333
25,2015,1,25,13.145833
26,2015,1,26,31.91583299
27,2015,1,27,22.93416699
28,2015,1,28,45.423333
29,2015,1,29,28.51916699
30,2015,1,30,22.8775
31,2015,1,31,29.923333
32,2015,2,1,16.843333
33,2015,2,2,36.28416599
34,2015,2,3,39.53999999
35,2015,2,4,41.44749999
36,2015,2,5,39.126666
37,2015,2,6,31.221667
38,2015,2,7,23.919166
39,2015,2,8,25.274166
40,2015,2,9,60.25916699
41,2015,2,10,78.94249999
42,2015,2,11,92.77249899
43,2015,2,12,98.15
44,2015,2,13,26.81833299
45,2015,2,14,1.70583299
46,2015,2,15,0.0
47,2015,2,16,0.0
48,2015,2,17,0.0
49,2015,2,18,0.0
50,2015,2,19,64.04749999
51,2015,2,20,36.34166599
52,2015,2,21,9.35999999
53,2015,2,22,14.673333
54,2015,2,23,15.99
55,2015,2,24,10.115833
56,2015,2,25,19.862499
57,2015,2,26,26.794166
58,2015,2,27,42.639167
59,2015,2,28,40.53166699
60,2015,3,1,24.88166599
61,2015,3,2,15.613333
62,2015,3,3,33.8725
63,2015,3,4,5.70416599
64,2015,3,5,18.245833
65,2015,3,6,30.523333
66,2015,3,7,37.11499899
67,2015,3,8,59.899166
68,2015,3,9,67.77333299
69,2015,3,10,78.92833199
70,2015,3,11,56.809165
71,2015,3,12,41.179999
72,2015,3,13,42.78499999
73,2015,3,14,53.70499999
74,2015,3,15,40.925834
75,2015,3,16,27.53249999
76,2015,3,17,44.824167
77,2015,3,18,84.980833
78,2015,3,19,88.99166499
79,2015,3,20,68.31
80,2015,3,21,39.23833299
81,2015,3,22,35.807499
82,2015,3,23,57.01749999
83,2015,3,24,35.248333
84,2015,3,25,35.71416599
85,2015,3,26,16.08999899
86,2015,3,27,16.890833
87,2015,3,28,24.62999999
88,2015,3,29,28.282499
89,2015,3,30,7.2925
90,2015,3,31,7.93166599
91,2015,4,1,9.221666
92,2015,4,2,15.54166599
93,2015,4,3,11.305833
