,VAL
0,55.23
1,29.9145
2,20.6756
3,31.3797
4,3.2153
5,16.9312
6,56.4917
7,66.626
8,66.5446
9,70.289
10,81.2374
11,75.9056
12,68.9052
13,42.6943
14,38.6243
15,5.4131
16,7.6923
17,16.5242
18,39.9674
19,31.7053
20,19.2104
21,25.6817
22,20.4721
23,28.7342
24,44.9735
25,42.8164
26,61.7013
27,75.4579
28,55.23
29,59.4627
30,62.1897
31,67.1144
32,27.7981
33,5.5759
34,11.6402
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,47.0574
44,48.6651
45,61.9792
46,88.4581
47,49.4143
48,31.1869
49,44.7735
50,64.2085
51,53.8896
52,27.6046
53,44.1763
54,30.2612
55,23.0238
56,15.512
57,22.2542
58,31.5552
59,30.0282
60,59.3562
61,75.9095
62,61.8997
63,58.7056
64,35.2887
65,30.6079
66,28.9617
67,16.5294
68,21.0663
69,31.1274
70,0.0
71,0.0
72,10.9378
73,9.9567
74,16.036
75,34.4736
76,12.5177
77,14.7743
78,19.5936
79,10.7946
80,11.6654
81,34.6433
82,19.8893
83,11.8294
84,23.7167
85,45.0823
86,49.2645
87,19.9531
88,34.2405
89,17.4245
90,12.993
91,21.5961
92,25.8388
93,33.3237
94,20.8717
95,23.1119
96,17.3436
97,14.0284
98,20.3299
99,27.1345
100,48.3007
101,16.2049
102,10.9653
103,12.3124
104,31.1657
105,43.1368
106,52.542
107,55.243
108,50.8231
109,4.5459
110,6.1747
111,16.1588
112,18.1061
113,13.3399
114,14.0985
115,25.9826
116,15.3655
117,9.5582
118,5.5677
119,12.4517
120,23.643
121,28.8599
122,30.4179
123,30.8734
124,0.0
125,12.6059
126,11.6001
127,7.0829
128,14.9418
129,12.5327
130,10.5479
131,6.669
132,7.9825
133,12.7745
134,14.4175
135,4.8922
136,5.794
137,7.3745
138,5.1502
139,7.6525
140,5.1649
141,0.0
142,0.0
143,3.6252
144,5.1502
145,4.2401
146,11.1846
147,15.8138
148,6.7239
149,0.0
150,8.9862
151,14.2068
152,7.233
153,9.9081
154,12.8087
155,17.2978
156,16.7783
157,13.4326
158,16.2666
159,11.2043
160,4.549
161,9.5237
162,9.9107
163,13.9118
164,24.213
165,23.904
166,24.4017
167,26.3795
168,28.8215
169,27.7111
170,26.8083
171,18.1794
172,13.3702
173,13.9923
174,3.6013
175,3.4742
176,5.4877
177,8.5763
178,10.7299
179,12.1932
180,5.3409
181,13.0118
182,14.8658
183,15.9804
184,15.9042
185,22.8555
186,17.9188
187,13.8037
188,13.3998
189,14.7016
190,14.1226
191,11.9449
192,21.4592
193,21.0927
194,13.6812
195,17.2084
196,24.8739
197,24.1258
198,23.3086
199,20.1719
200,15.4814
201,14.8974
202,26.2577
203,11.9859
204,12.7738
205,21.0715
206,25.0427
207,23.2599
208,18.1573
209,12.5192
210,4.3018
211,9.805
212,15.8811
213,15.1428
214,14.4539
215,15.5735
216,17.8
217,20.4583
218,26.6423
219,19.7877
220,10.4441
221,4.9802
222,8.2495
223,12.504
224,12.1939
225,13.8185
226,5.4917
227,9.35
228,14.599
229,14.2508
230,14.6997
231,6.5627
232,8.1924
233,12.9122
234,19.1892
235,11.3865
236,6.1422
237,4.3734
238,4.1119
239,5.7358
240,8.5433
241,9.6582
242,15.0016
243,15.8272
244,16.6685
245,13.5019
246,22.5628
247,24.9398
248,21.9985
249,19.1646
250,17.5665
251,8.2559
252,12.7512
253,7.2998
254,8.9755
255,6.0609
256,6.2059
257,9.8374
258,7.2314
259,2.3861
260,6.0909
261,16.2946
262,15.7194
263,21.4448
264,17.0923
265,16.3081
266,19.9124
267,22.8031
268,23.1725
269,24.8658
270,24.8976
271,12.0283
272,8.0025
273,18.2795
274,20.0913
275,20.7752
276,28.516
277,27.5395
278,28.7713
279,15.4447
280,24.5124
281,38.1889
282,24.5831
283,4.2685
284,5.2632
285,11.3603
286,12.9469
287,15.6848
288,13.4466
289,18.1566
290,29.8868
291,47.3452
292,35.5338
293,21.8834
294,21.2155
295,27.0027
296,5.3554
297,15.0342
298,15.0729
299,21.3835
300,21.5745
301,25.5311
302,7.4094
303,8.4251
304,17.0532
305,30.9297
306,19.5917
307,6.9437
308,16.0927
309,15.0653
310,27.565
311,61.89
312,20.4263
313,9.974
314,2.5538
315,10.6784
316,22.8326
317,31.2582
318,8.341
319,15.1682
320,31.6353
321,33.6967
322,16.3783
323,13.2902
324,9.8591
325,5.999
326,19.73
